Index	Title	Pmid	PubYear	LastAuthor	ArticleID	TableID	NeuronName	NeuronLongName	BrainRegion	MetadataCurated	Species	Strain	ElectrodeType	PrepType	JxnPotential	JxnOffset	RecTemp	AnimalAge	AnimalWeight	FlagSoln	ExternalSolution	ExternalSolution_conf	external_0_Mg	external_0_Ca	external_0_Na	external_0_Cl	external_0_K	external_0_pH	InternalSolution	InternalSolution_conf	internal_0_Mg	internal_0_Ca	internal_0_Na	internal_0_Cl	internal_0_K	internal_0_pH	input resistance	resting membrane potential	spike threshold	spike amplitude	spike half-width	membrane time constant	AHP amplitude	spike width	cell capacitance	AHP duration	rheobase	firing frequency	sag ratio	adaptation ratio	fast AHP amplitude	spike peak	maximum firing rate	spontaneous firing rate	other	FI slope	first spike latency	slow AHP amplitude	spike max rise slope	ADP amplitude	sag amplitude	spike max decay slope	spike rise time	spike decay time	fast AHP duration	access resistance	cell diameter	slow AHP duration	medium AHP amplitude	cell surface area	medium AHP duration	ADP duration
453	Greater excitability and firing irregularity of tufted cells underlies distinct afferent-evoked activity of olfactory bulb mitral and tufted cells.	24614745	2014	Urban NN	85554		Olfactory bulb (main) mitral cell		Olfactory areas	False																											94.3																																			
293	Heterotrimeric guanosine triphosphate-binding protein-coupled modulatory actions of motilin on K+ channels and postsynaptic γ-aminobutyric acid receptors in mouse medial vestibular nuclear neurons.	23136934	2013	Nagao S	76996	20161.0	Medial vestibular nucleus neuron		Medulla	True	Mice	C57BL	Patch-clamp	in vitro	Unreported		28.0	18.7082869339			The slices were then incubated with the O2 and CO2 gas-equilibrated artificial cerebrospinal fluid (ACSF) containing: 122 NaCl, 5 KCl, 2.5 CaCl2, 1.3 MgSO4, 1 NaH2PO4, 26 NaHCO3, 20 d-glucose, 2 l-ascorbic acid sodium salt, and 2 sodium pyruvate for 30 min at 34 °C.	5.0	1.3	2.5	153.0	132.0	5.0		For recording spontaneous action potentials (APs), patch pipettes were filled with an intracellular solution (135 K-gluconate, 6 NaCl, 2 MgCl2, 0.2 EGTA, 10 HEPES, 4 Mg-ATP, 0.4 Na-GTP, and 10 Na2-phosphocreatine), which was adjusted to pH 7.3 and 275–285 mOsm.	5.0	6.0		46.4	10.0	135.0	7.3			-48.8	69.9	0.5		12.8																													
588	Heterotrimeric guanosine triphosphate-binding protein-coupled modulatory actions of motilin on K+ channels and postsynaptic γ-aminobutyric acid receptors in mouse medial vestibular nuclear neurons.	23136934	2013	Nagao S	76996	20162.0	Medial vestibular nucleus neuron	Medial vestibular nucleus GABAergic VGAT-expressing cell	Medulla	True	Mice	C57BL	Patch-clamp	in vitro	Unreported		28.0	18.7082869339			The slices were then incubated with the O2 and CO2 gas-equilibrated artificial cerebrospinal fluid (ACSF) containing: 122 NaCl, 5 KCl, 2.5 CaCl2, 1.3 MgSO4, 1 NaH2PO4, 26 NaHCO3, 20 d-glucose, 2 l-ascorbic acid sodium salt, and 2 sodium pyruvate for 30 min at 34 °C.	5.0	1.3	2.5	153.0	132.0	5.0		For recording spontaneous action potentials (APs), patch pipettes were filled with an intracellular solution (135 K-gluconate, 6 NaCl, 2 MgCl2, 0.2 EGTA, 10 HEPES, 4 Mg-ATP, 0.4 Na-GTP, and 10 Na2-phosphocreatine), which was adjusted to pH 7.3 and 275–285 mOsm.	5.0	6.0		46.4	10.0	135.0	7.3			-49.9	69.8	0.5		12.7												40.6																	
786	Heterotrimeric guanosine triphosphate-binding protein-coupled modulatory actions of motilin on K+ channels and postsynaptic γ-aminobutyric acid receptors in mouse medial vestibular nuclear neurons.	23136934	2013	Nagao S	76996	20163.0	Medial vestibular nucleus neuron	Motilin-sensitive medial vestibular nucleus neuron	Medulla	True	Mice	C57BL	Perforated patch	in vitro	Unreported		28.0	18.7082869339			The slices were then incubated with the O2 and CO2 gas-equilibrated artificial cerebrospinal fluid (ACSF) containing: 122 NaCl, 5 KCl, 2.5 CaCl2, 1.3 MgSO4, 1 NaH2PO4, 26 NaHCO3, 20 d-glucose, 2 l-ascorbic acid sodium salt, and 2 sodium pyruvate for 30 min at 34 °C.	5.0	1.3	2.5	153.0	132.0	5.0		For recording spontaneous action potentials (APs), patch pipettes were filled with an intracellular solution (135 K-gluconate, 6 NaCl, 2 MgCl2, 0.2 EGTA, 10 HEPES, 4 Mg-ATP, 0.4 Na-GTP, and 10 Na2-phosphocreatine), which was adjusted to pH 7.3 and 275–285 mOsm.	5.0	6.0		46.4	10.0	135.0	7.3			-48.4	69.2	0.5		12.7																													
787	Heterotrimeric guanosine triphosphate-binding protein-coupled modulatory actions of motilin on K+ channels and postsynaptic γ-aminobutyric acid receptors in mouse medial vestibular nuclear neurons.	23136934	2013	Nagao S	76996	20163.0	Medial vestibular nucleus neuron	Motilin-sensitive medial vestibular nucleus neuron	Medulla	True	Mice	C57BL	Patch-clamp	in vitro	Unreported		28.0	18.7082869339			The slices were then incubated with the O2 and CO2 gas-equilibrated artificial cerebrospinal fluid (ACSF) containing: 122 NaCl, 5 KCl, 2.5 CaCl2, 1.3 MgSO4, 1 NaH2PO4, 26 NaHCO3, 20 d-glucose, 2 l-ascorbic acid sodium salt, and 2 sodium pyruvate for 30 min at 34 °C.	5.0	1.3	2.5	153.0	132.0	5.0		For recording spontaneous action potentials (APs), patch pipettes were filled with an intracellular solution (135 K-gluconate, 6 NaCl, 2 MgCl2, 0.2 EGTA, 10 HEPES, 4 Mg-ATP, 0.4 Na-GTP, and 10 Na2-phosphocreatine), which was adjusted to pH 7.3 and 275–285 mOsm.	5.0	6.0		46.4	10.0	135.0	7.3			-49.3	69.1	0.5		12.9																													
638	Cellular neuroanatomy of rat presubiculum.	23176296	2013	Fricker D	77309	20457.0	Other	presubiculum regular spiking pyramidal cells in layers II/III		False			Patch-clamp	in vitro							After anaesthesia with ketamine hydrochloride and xylazine (80 and 12 mg/kg, respectively), animals were perfused via the heart with a solution containing (in mm): 110 choline Cl, 2.5 KCl, 25 NaHCO3, 1.25 NaH2PO4, 7 D-glucose, 0.5 CaCl2 and 7 MgCl2, cooled to 2–6 °C and equilibrated with 5% CO2 in O2.	3.0	7.0	0.5	26.25	127.5	2.5		The electrode resistance, when filled with a solution containing (in mm): 130 K-gluconate, 5 KCl, 10 HEPES, 10 ethylene glycol tetra-acetic acid, 2 MgCl2, 4 MgATP, 0.4 Tris-GTP, 10 Na2-phosphocreatine and 2.7 biocytin, was 3–6 MΩ.	4.0	6.0		40.0	9.0	135.0		360.0	-77.5		98.1	0.8	22.0	12.7				37.0	27.0	1.06						0.18	463.0			506.0			-122.0										
639	Cellular neuroanatomy of rat presubiculum.	23176296	2013	Fricker D	77309	20457.0	Other	presubiculum intrinsically bursting cells in layers IV		False			Patch-clamp	in vitro							After anaesthesia with ketamine hydrochloride and xylazine (80 and 12 mg/kg, respectively), animals were perfused via the heart with a solution containing (in mm): 110 choline Cl, 2.5 KCl, 25 NaHCO3, 1.25 NaH2PO4, 7 D-glucose, 0.5 CaCl2 and 7 MgCl2, cooled to 2–6 °C and equilibrated with 5% CO2 in O2.	3.0	7.0	0.5	26.25	127.5	2.5		The electrode resistance, when filled with a solution containing (in mm): 130 K-gluconate, 5 KCl, 10 HEPES, 10 ethylene glycol tetra-acetic acid, 2 MgCl2, 4 MgATP, 0.4 Tris-GTP, 10 Na2-phosphocreatine and 2.7 biocytin, was 3–6 MΩ.	4.0	6.0		40.0	9.0	135.0		216.0	-62.1		89.8	0.89	18.0	14.8				43.0	68.0	1.23						0.88	346.0			359.0			-91.0										
640	Cellular neuroanatomy of rat presubiculum.	23176296	2013	Fricker D	77309	20457.0	Other	presubiculum regular spiking pyramidal cells in layer V/VI		False			Patch-clamp	in vitro							After anaesthesia with ketamine hydrochloride and xylazine (80 and 12 mg/kg, respectively), animals were perfused via the heart with a solution containing (in mm): 110 choline Cl, 2.5 KCl, 25 NaHCO3, 1.25 NaH2PO4, 7 D-glucose, 0.5 CaCl2 and 7 MgCl2, cooled to 2–6 °C and equilibrated with 5% CO2 in O2.	3.0	7.0	0.5	26.25	127.5	2.5		The electrode resistance, when filled with a solution containing (in mm): 130 K-gluconate, 5 KCl, 10 HEPES, 10 ethylene glycol tetra-acetic acid, 2 MgCl2, 4 MgATP, 0.4 Tris-GTP, 10 Na2-phosphocreatine and 2.7 biocytin, was 3–6 MΩ.	4.0	6.0		40.0	9.0	135.0		819.0	-67.9		94.4	1.24	52.0	14.2				15.0	33.0	1.1						0.19	514.0			340.0			-80.0										
641	Cellular neuroanatomy of rat presubiculum.	23176296	2013	Fricker D	77309	20457.0	Other	presubiculum regular spiking pyramidal cells in layer V/VI		False			Patch-clamp	in vitro							After anaesthesia with ketamine hydrochloride and xylazine (80 and 12 mg/kg, respectively), animals were perfused via the heart with a solution containing (in mm): 110 choline Cl, 2.5 KCl, 25 NaHCO3, 1.25 NaH2PO4, 7 D-glucose, 0.5 CaCl2 and 7 MgCl2, cooled to 2–6 °C and equilibrated with 5% CO2 in O2.	3.0	7.0	0.5	26.25	127.5	2.5		The electrode resistance, when filled with a solution containing (in mm): 130 K-gluconate, 5 KCl, 10 HEPES, 10 ethylene glycol tetra-acetic acid, 2 MgCl2, 4 MgATP, 0.4 Tris-GTP, 10 Na2-phosphocreatine and 2.7 biocytin, was 3–6 MΩ.	4.0	6.0		40.0	9.0	135.0		415.0	-71.1		92.7	0.95	26.0	14.6				36.0	24.0	1.18						0.32	371.0			367.0			-97.0										
602	Lateral hypothalamic GAD65 neurons are spontaneously firing and distinct from orexin- and melanin-concentrating hormone neurons.	23184514	2013	Burdakov D	72180	16055.0	Other	Lateral hypothalamus GAD65-GFP late spiking neurons		True	Mice	GAD65-GFP	Patch-clamp	in vitro	Corrected	10.1	37.0	35.4964786986			Artificial cerebrospinal fluid (ACSF) was always continuously gassed with 95% O2 and 5% CO2 and contained (in mm): 125 NaCl, 2.5 KCl, 2 MgCl2, 2 CaCl2, 1.2 NaH2PO4, 21 NaHCO3 and 1 d-(+)-glucose. 	5.0	2.0	2.0	147.2	135.5	2.5		The intracellular (pipette) solution contained (in mm): 120 potassium gluconate, 10 KCl, 0.1 EGTA, 10 Hepes, 5 K2ATP, 1 NaCl, 2 MgCl2, 0.2% biocytin; pH set to 7.3 with KOH.	5.0	2.0		1.0	15.0	140.0	7.3	628.0	-47.6	-36.8	59.4	0.8	24.2	26.6		17.8			49.4		0.79			67.2	7.9					195.1					0.69								
